단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
006910,KR7006910004,보성파워텍,ST,3,0,1009,1026,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,Y,N,N,N,3945,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,466544,500,19940907,49129,24564912000,12,,0,,N,N,542,-45,-112,-111,-13,20221231,1938,,N,N,N
006920,KR7006920003,모헨즈,ST,3,0,1009,1025,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4780,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1670531,500,19890105,10920,5460000000,12,,0,,N,N,246,17,17,17,25,20230331,521,,N,N,N
007330,KR7007330004,푸른저축은행,ST,3,0,1014,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,9450,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,13144,1000,19931207,15082,15082800000,12,,0,,N,N,790,263,266,201,7,20221231,1425,,N,N,N
007370,KR7007370000,진양제약,ST,3,0,1009,1024,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6230,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,30769,500,20000727,12000,6000000000,12,,0,,N,N,763,111,145,123,17,20221231,747,,N,N,N
007390,KR7007390008,네이처셀,ST,1,0,1009,1024,N,N,Y,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,Y,10160,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,382072,500,19921130,63657,31828578000,12,,0,,N,Y,58,-22,-29,-29,-21,20230331,6467,,N,N,N
007530,KR7007530009,와이엠,ST,3,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4000,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,93105,500,19940805,19174,9587226000,12,,0,,N,N,408,11,7,8,7,20230331,766,,N,N,N
007680,KR7007680002,대원,ST,3,0,1010,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,6960,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,2659,500,20171201,13446,6723237000,12,,0,,N,N,971,-9,35,32,4,20230331,935,,N,N,N
007720,KR7007720006,대명소노시즌,ST,3,0,1011,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,698,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,156694,500,19940106,100800,50400225000,12,,0,,N,N,388,-2,3,2,1,20230331,703,,N,N,N
007770,KR7007770001,한일화학,ST,3,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,23300,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,95963,500,19920907,3510,1755000000,12,,0,,N,N,336,-24,-22,-19,-6,20230331,817,,N,N,N
007820,KR7007820004,에스엠코어,ST,3,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6970,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,117627,500,20111108,20033,10016973000,12,,0,,N,N,392,-13,-9,-9,-5,20230331,1396,535,N,N,N
008290,KR7008290009,원풍물산,ST,3,0,1009,1020,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,971,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,368894,500,19970718,40693,20346839500,12,,0,,N,N,333,2,-22,-35,-19,20221231,395,,N,N,N
008370,KR7008370009,원풍,ST,3,0,1009,1023,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4465,1,1,N,N,N,0,N,N,N,0,0,0,50,Y,90,14343,500,19921218,12000,6000000000,12,,0,,N,N,155,2,10,26,11,20230331,535,,N,N,N
008470,KR7008470007,부스타,ST,3,0,1009,1026,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5130,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,4225,500,20110223,8404,4202400000,12,,0,,N,N,237,-5,-2,-3,-1,20230331,431,,N,N,N
008830,KR7008830002,대동기어,ST,3,0,1009,1027,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,6650,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,39473,500,19910517,8987,4493760000,12,,0,,N,N,2421,76,46,42,6,20221231,597,,N,N,N
